id,name,region,platforms,missing_dedicated_destinations,model,score_breakdown,official_url,english_description,english_features,last_verified,pricing_source,pricing_last_checked,latest_major_update,available_countries,free_trial_requirements,affiliate_disclosure,logo,missing_count,action
chatgpt,ChatGPT,overseas,web;ios;android;api;desktop,,false,false,false,false,false,false,false,true,true,true,true,true,false,5,REVIEW
claude,Claude,overseas,web;api;desktop,,false,false,false,false,false,false,false,true,true,true,true,true,false,5,REVIEW
gemini,Gemini,overseas,web;android;ios;api,,false,false,false,false,false,false,false,true,true,true,true,true,false,5,REVIEW
deepseek,DeepSeek,domestic,web;ios;android;api,,false,false,false,false,false,false,false,true,true,true,true,true,false,5,REVIEW
kimi,Kimi,domestic,web;ios;android;desktop,app;desktop,false,false,false,false,false,false,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
doubao,豆包,domestic,web;ios;android;desktop;extension,app;plugin;desktop,false,false,false,false,false,false,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
wenxin,文心一言,domestic,web;ios;android;desktop,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
tongyi,通义千问,domestic,web;ios;android;api,app;api,false,false,false,false,false,false,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
chatglm,智谱清言,domestic,web;ios;android;api,app;api,false,false,false,false,false,false,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
yuanbao,腾讯元宝,domestic,web;ios;android,app,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
midjourney,Midjourney,overseas,web,,false,false,false,false,false,false,false,true,true,true,true,true,false,5,REVIEW
dalle,DALL·E 3,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
stable-diffusion,Stable Diffusion,overseas,web;windows;macos;linux;api,desktop,false,false,false,false,false,true,false,true,true,true,true,true,false,7,REVIEW_PRIORITY
flux,Flux,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
jimeng,即梦 AI,domestic,web;desktop;ios;android,app;desktop,false,false,false,false,false,false,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
leonardo,Leonardo AI,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
yige,文心一格,domestic,web;ios;android,app,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
sora,Sora,overseas,web,,false,false,false,false,false,false,true,true,true,true,true,true,false,6,REVIEW
runway,Runway,overseas,web;api,,false,false,false,false,false,false,false,true,true,true,true,true,false,5,REVIEW
pika,Pika,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
kling,可灵 AI,domestic,web,,false,false,false,false,false,false,true,true,true,true,true,true,false,6,REVIEW
hailuo,海螺 AI,domestic,web,,false,false,false,false,false,false,true,true,true,true,true,true,false,6,REVIEW
luma,Luma AI,overseas,web,,false,false,false,false,false,false,true,true,true,true,true,true,false,6,REVIEW
heygen,HeyGen,overseas,web;api,api,false,false,false,false,false,true,false,true,true,true,true,true,false,7,REVIEW_PRIORITY
suno,Suno,overseas,web,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
udio,Udio,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
elevenlabs,ElevenLabs,overseas,web;api;extension,plugin,false,false,false,false,false,true,false,true,true,true,true,true,false,7,REVIEW_PRIORITY
copilot,GitHub Copilot,overseas,web;desktop;extension,plugin;desktop,false,false,false,false,false,true,false,true,true,true,true,true,false,8,REVIEW_PRIORITY
cursor,Cursor,overseas,macos;windows;linux,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
windsurf,Windsurf,overseas,macos;windows;linux,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
claude-code,Claude Code,overseas,macos;windows;linux;api,api;desktop,false,false,false,false,false,true,false,true,true,true,true,true,false,8,REVIEW_PRIORITY
lingma,通义灵码,domestic,web;desktop;extension,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
replit,Replit,overseas,web;desktop;extension,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
v0,v0,overseas,web,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
bolt,Bolt.new,overseas,web,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
notion-ai,Notion AI,overseas,web;desktop;ios;android;macos;windows,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
wps-ai,WPS AI,domestic,web;windows;macos;linux;ios;android,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
feishu,飞书智能伙伴,domestic,web;windows;macos;ios;android,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
dingtalk,钉钉 AI,domestic,web;windows;macos;ios;android;api,app;api;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,10,REVIEW_PRIORITY
gamma,Gamma,overseas,web,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
xinghuo,讯飞星火,domestic,web;api;extension;wechat,plugin;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
grammarly,Grammarly,overseas,web;macos;windows;ios;android;extension;desktop,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
xiezuocat,秘塔写作猫,domestic,web;wechat,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
jasper,Jasper,overseas,web;extension;desktop,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
copyai,Copy.ai,overseas,web;extension;api,plugin;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
perplexity,Perplexity,overseas,web;ios;android;extension;api,plugin,false,false,false,false,false,true,false,true,true,true,true,true,false,7,REVIEW_PRIORITY
metaso,秘塔 AI 搜索,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
copilot-microsoft,Microsoft Copilot,overseas,web;windows;ios;android;extension,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
tiangong,天工 AI 搜索,domestic,web;wechat,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
deepl,DeepL,overseas,web;desktop;ios;android;extension;api,api;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
immersive,沉浸式翻译,domestic,web;extension,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
youdao,有道翻译,domestic,web;windows;macos;ios;android;extension,app;plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,10,REVIEW_PRIORITY
google-translate,Google 翻译,overseas,web;ios;android;api;extension,app;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
canva,Canva,overseas,web;macos;windows;ios;android;extension,plugin,false,false,false,false,false,true,false,true,true,true,true,true,false,7,REVIEW_PRIORITY
figma,Figma,overseas,web;macos;windows;ios;android;desktop,app;desktop,false,false,false,false,false,true,false,true,true,true,true,true,false,8,REVIEW_PRIORITY
gaoding,稿定设计,domestic,web;desktop;wechat,desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
recraft,Recraft,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
grok,Grok,overseas,web;ios;android,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
mistral,Mistral Le Chat,overseas,web;api,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
poe,Poe,overseas,web;ios;android,app,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
ideogram,Ideogram,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
nano-banana,Nano Banana,overseas,web;android;ios,app,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
remove-bg,Remove.bg,overseas,web;desktop;api;extension,plugin;api;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,10,REVIEW_PRIORITY
photoroom,Photoroom,overseas,web;ios;android;api,app;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
veo,Veo,overseas,web;api,api,false,false,false,false,false,false,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
synthesia,Synthesia,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
fish-audio,Fish Audio,domestic,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
lovable,Lovable,overseas,web,,false,false,false,false,false,true,false,true,true,true,true,true,false,6,REVIEW
notebooklm,NotebookLM,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
